VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Mauritius,2021,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Morocco,2017,13,10^9 m3/year,E,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Morocco,2018,13,10^9 m3/year,E,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Morocco,2019,13,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Morocco,2020,13,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Morocco,2021,13,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Namibia,2017,0.2,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Namibia,2018,0.2,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Namibia,2019,0.2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Namibia,2020,0.2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Namibia,2021,0.2,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Oman,2017,0,10^9 m3/year,E,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Oman,2018,0,10^9 m3/year,E,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Oman,2019,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Oman,2020,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Oman,2021,0,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Palestine,2017,0.07,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Palestine,2018,0.07,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Palestine,2019,0.07,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Palestine,2020,0.07,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Palestine,2021,0.07,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Spain,2017,32.8,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Spain,2018,32.8,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Spain,2019,32.8,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Spain,2020,32.8,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Spain,2021,32.8,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Syrian Arab Republic,2017,12.8,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Syrian Arab Republic,2018,12.8,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Syrian Arab Republic,2019,12.8,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Syrian Arab Republic,2020,12.8,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Syrian Arab Republic,2021,12.8,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Thailand,2017,27.34,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Thailand,2018,27.34,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Thailand,2019,27.34,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Thailand,2020,27.34,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Thailand,2021,27.34,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Tunisia,2017,0.3,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Tunisia,2018,0.3,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Tunisia,2019,0.3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Tunisia,2020,0.3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Tunisia,2021,0.3,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Algeria,2017,1.9,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Algeria,2018,1.9,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Algeria,2019,1.9,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Algeria,2020,1.9,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Algeria,2021,1.9,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Australia,2017,72,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Australia,2018,72,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Australia,2019,72,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Australia,2020,72,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Australia,2021,72,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Austria,2017,31,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: regular renewable groundwater,Austria,2018,31,10^9 m3/year,-,FALSE
