VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,External renewable water resources,Surface water: entering the country (total),El Salvador,2021,10.64,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Equatorial Guinea,2017,0,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Equatorial Guinea,2018,0,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Equatorial Guinea,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Equatorial Guinea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Equatorial Guinea,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eritrea,2017,0.7,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eritrea,2018,0.7,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eritrea,2019,0.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eritrea,2020,0.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eritrea,2021,0.7,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Estonia,2017,0.096,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Estonia,2018,0.096,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Estonia,2019,0.096,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Estonia,2020,0.096,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Estonia,2021,0.096,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eswatini,2017,1.87,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eswatini,2018,1.87,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eswatini,2019,1.87,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eswatini,2020,1.87,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Eswatini,2021,1.87,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ethiopia,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ethiopia,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ethiopia,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ethiopia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ethiopia,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Faroe Islands,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Faroe Islands,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Faroe Islands,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Faroe Islands,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Faroe Islands,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Fiji,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Fiji,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Fiji,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Fiji,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Fiji,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Finland,2017,3,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Finland,2018,3,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Finland,2019,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Finland,2020,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Finland,2021,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),France,2017,11,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),France,2018,11,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),France,2019,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),France,2020,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),France,2021,11,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gabon,2017,2,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gabon,2018,2,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gabon,2019,2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gabon,2020,2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gabon,2021,2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gambia,2017,5,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gambia,2018,5,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gambia,2019,5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gambia,2020,5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Gambia,2021,5,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Georgia,2017,8.35,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Georgia,2018,8.35,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Georgia,2019,8.35,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Georgia,2020,8.35,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Georgia,2021,8.35,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Germany,2017,47,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Germany,2018,47,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Germany,2019,47,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Germany,2020,47,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Germany,2021,47,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ghana,2017,25.9,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ghana,2018,25.9,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ghana,2019,25.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ghana,2020,25.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ghana,2021,25.9,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Greece,2017,7.6,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Greece,2018,7.6,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Greece,2019,7.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Greece,2020,7.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Greece,2021,7.6,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Grenada,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Grenada,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Grenada,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Grenada,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Grenada,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guatemala,2017,18.71,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guatemala,2018,18.71,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guatemala,2019,18.71,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guatemala,2020,18.71,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guatemala,2021,18.71,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea-Bissau,2017,15.4,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea-Bissau,2018,15.4,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea-Bissau,2019,15.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea-Bissau,2020,15.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guinea-Bissau,2021,15.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guyana,2017,30,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guyana,2018,30,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guyana,2019,30,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guyana,2020,30,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Guyana,2021,30,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Haiti,2017,1.015,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Haiti,2018,1.015,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Haiti,2019,1.015,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Haiti,2020,1.015,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Haiti,2021,1.015,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Honduras,2017,1.504,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Honduras,2018,1.504,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Honduras,2019,1.504,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Honduras,2020,1.504,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Honduras,2021,1.504,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Hungary,2017,98,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Hungary,2018,98,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Hungary,2019,98,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Hungary,2020,98,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Hungary,2021,98,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iceland,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iceland,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iceland,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iceland,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iceland,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),India,2017,635.2,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),India,2018,635.2,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),India,2019,635.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),India,2020,635.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),India,2021,635.2,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Indonesia,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Indonesia,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Indonesia,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Indonesia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Indonesia,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iran,2017,7.77,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iran,2018,7.77,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iran,2019,7.77,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iran,2020,7.77,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iran,2021,7.77,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iraq,2017,61.33,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iraq,2018,61.33,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iraq,2019,61.33,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iraq,2020,61.33,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Iraq,2021,61.33,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ireland,2017,3,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ireland,2018,3,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ireland,2019,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ireland,2020,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Ireland,2021,3,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Israel,2017,0.305,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Israel,2018,0.305,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Israel,2019,0.305,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Israel,2020,0.305,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Israel,2021,0.305,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Italy,2017,8.8,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Italy,2018,8.8,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Italy,2019,8.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Italy,2020,8.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Italy,2021,8.8,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jamaica,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jamaica,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jamaica,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jamaica,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jamaica,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Japan,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Japan,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Japan,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Japan,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Japan,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jordan,2017,0.4,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jordan,2018,0.4,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jordan,2019,0.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jordan,2020,0.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Jordan,2021,0.4,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kazakhstan,2017,72.04,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kazakhstan,2018,72.04,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kazakhstan,2019,72.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kazakhstan,2020,72.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kazakhstan,2021,72.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kenya,2017,10,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kenya,2018,10,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kenya,2019,10,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kenya,2020,10,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kenya,2021,10,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kiribati,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kiribati,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kiribati,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kiribati,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kiribati,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kuwait,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kuwait,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kuwait,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kuwait,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kuwait,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kyrgyzstan,2017,0.558,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kyrgyzstan,2018,0.558,10^9 m3/year,E,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kyrgyzstan,2019,0.558,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kyrgyzstan,2020,0.558,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Kyrgyzstan,2021,0.558,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lao People's Democratic Republic,2017,143.1,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lao People's Democratic Republic,2018,143.1,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lao People's Democratic Republic,2019,143.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lao People's Democratic Republic,2020,143.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lao People's Democratic Republic,2021,143.1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Latvia,2017,18,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Latvia,2018,18,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Latvia,2019,18,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Latvia,2020,18,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Latvia,2021,18,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lebanon,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lebanon,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lebanon,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lebanon,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lebanon,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lesotho,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lesotho,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lesotho,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lesotho,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lesotho,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Liberia,2017,32,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Liberia,2018,32,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Liberia,2019,32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Liberia,2020,32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Liberia,2021,32,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Libya,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Libya,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Libya,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Libya,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Libya,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lithuania,2017,9.04,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lithuania,2018,9.04,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lithuania,2019,9.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lithuania,2020,9.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Lithuania,2021,9.04,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Luxembourg,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Luxembourg,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Luxembourg,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Luxembourg,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Luxembourg,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Madagascar,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Madagascar,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Madagascar,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Madagascar,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Madagascar,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malawi,2017,1,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malawi,2018,1,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malawi,2019,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malawi,2020,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malawi,2021,1,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malaysia,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malaysia,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malaysia,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malaysia,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malaysia,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Maldives,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Maldives,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Maldives,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Maldives,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Maldives,2021,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mali,2017,60,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mali,2018,60,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mali,2019,60,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mali,2020,60,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Mali,2021,60,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malta,2017,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malta,2018,0,10^9 m3/year,-,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malta,2019,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malta,2020,0,10^9 m3/year,I,FALSE
Water resources,External renewable water resources,Surface water: entering the country (total),Malta,2021,0,10^9 m3/year,I,FALSE
